id,user,created_at,text,retweet_count
931541416399925248,CitronResearch,2017-11-17 15:15:55,b'Here is the Chemours news story that should be the first of many https://t.co/Rq4bJ8gD4E',14
931540946147205120,CitronResearch,2017-11-17 15:14:03,b'$CC.  Receiving many requests for comment.  One of our worst stock calls of all time but hard to get past a company\\u2026 https://t.co/JH1EPcpvLB',13
929045538107940864,CitronResearch,2017-11-10 17:58:11,"b""Congrats to Cohodes on strong $OSTK call at Grants' conference.  Citron is cautious at these prices.  Would wait fo\\u2026 https://t.co/Sl5TvYcxWw""",51
925389536862945281,CitronResearch,2017-10-31 15:50:33,b'No need to go back and forth with management.  This is our official response to all media regarding $SHOP  https://t.co/Fn9MwJO3Xn',19
923895348065574914,CitronResearch,2017-10-27 12:53:10,b'@CitronAndrewL   This  Andrew Left.  If this account is not down in 1 hour this  happen https://t.co/PB12H1nj6t   Last person went to jail',2
923891377515020288,CitronResearch,2017-10-27 12:37:24,b'Someone has impersonated Andrew Left from Citron on Twitter.  Account has been  reported.  Whoever did this- read https://t.co/PB12H1nj6t',15
923199997587308545,CitronResearch,2017-10-25 14:50:06,b'1 yr ago Citron long $RH at $30 https://t.co/oKfjCnFJnT Stock up  150+%.  NOT comfort owning here with new cap struct.  Knowing when to sell',16
922841907746574336,CitronResearch,2017-10-24 15:07:11,b'Citron exposes even more shady distributors at $mdxg.  Could end worse for the employees than investors. Tgt-$3 (after SEC and DOJ investig)',25
918546790550515713,CitronResearch,2017-10-12 18:39:55,b'Covering $hmny. Don\\u2019t like to stay short companies that are expected to lose money high borrow $  hit tgt price in one day.  all timing',34
918109339897835520,CitronResearch,2017-10-11 13:41:38,b'$hmny stock to trade back to $20 Retail investors are warned. You might like product but $1+bill it isn\\u2019t.   Giving away $1 for .90 no biz',64
915592792750952448,CitronResearch,2017-10-04 15:01:47,b'Here is the story that provides all the evidence the FTC needs agasint Shopify  $SHOP tgt $60 - being generous https://t.co/QBKEIVdpTa',72
915574820099649537,CitronResearch,2017-10-04 13:50:22,b'Full story up in one hour...video live now...$SHOP is not the company Wall Street has sold you.  The FTC is going to shit when they read',38
915574475957067777,CitronResearch,2017-10-04 13:49:00,"b'$SHOP a business dirtier than $HLF   If the company has 2,500 plus merchants and 25k advanced...who are other 470k merchants?  @FTC'",35
913054305619283968,CitronResearch,2017-09-27 14:54:44,"b'$veri is not artificial intelligence, more like natural stupidity.  Stock should trade right back to $20.'",75
912350077766606848,CitronResearch,2017-09-25 16:16:23,"b""First lawsuit filed against $UBNT today CIVIL DOCKET FOR CASE #: 1:17-cv-07279 Gericke v. Ubiquiti Networks Inc. et al.  Can't HIDE NOW""",14
912342274406735872,CitronResearch,2017-09-25 15:45:23,"b""$UBNT @RobertPera @ScottWapnerCNBC Investor day tom Let's get answers for these 10 questions.  https://t.co/RL3GQgd05g .  Fake cash is Fraud""",9
911250399398551552,CitronResearch,2017-09-22 15:26:40,b'Cannot argue with this analysis- target $10   Smarter work than ANYONE on Wall Street has ever done on Wayfair.  https://t.co/JpDPS8NA7A',21
911250360802541569,CitronResearch,2017-09-22 15:26:30,b'Smartest piece EVER written on $W.  Not by a short or long. By a team of Ivy League scientists who specialize in predictive models. $10 tgt',15
909846915726032896,CitronResearch,2017-09-18 18:29:43,"b'$UBNT Mr. Pera, I will debate you on CNBC anytime you would like.  I am never too busy to stand by solid research.'",22
